Категорія,Назва,Бренд,Ціна,Наявність,Стан,Гарантія,Фото (ім'я файлу або посилання),Опис
"Відеоспостереження, Охорона, Ро",Відеокамера HDW1249XP-IL-A-PRO 2.8 мм,,2404,в наявності,нове,24 міс.,,"Опис Відеокамера HDW1249XP-IL-A-PRO (2.8мм) — це 2-мегапіксельна аналогова камера з підтримкою запису у 1080p за 25 к/с , широким кутом огляду та вбудованим аудіо. Модель підходить для цілодобового відеоспостереження завдяки поєднанню ІЧ-підсвічування та видимого світла з дальністю до 50 метрів . Камера оснащена матрицею 2 MP CMOS та об’єктивом 2.8 мм , який забезпечує широкий огляд: 101.8° по горизонталі , 54.4° по вертикалі та 122.1° по діагоналі . Це дає змогу контролювати вхідні групи, подвір’я, паркінги, коридори, складські та торгові приміщення. За якісне зображення у складних умовах освітлення відповідають апертура F1.0 , висока світлочутливість, 3D DNR та підтримка DWDR . Камера здатна працювати за мінімальної освітленості 0,0001 лк у кольоровому режимі, 0,00001 лк у чорно-білому режимі, а при увімкненому підсвічуванні — 0 лк . Модель підтримує кілька поширених форматів відеосигналу: CVI/CVBS/AHD/TVI ."
"Відеоспостереження, Охорона, Ро",Відеокамера HFW1249XP-IL-A-PRO 2.8 мм,,2104,в наявності,нове,24 міс.,,"Опис Відеокамера HFW1249XP-IL-A-PRO (2.8мм) — це 2-мегапіксельна вулична камера з підтримкою запису в 1080p за 25 к/с , вбудованим подвійним мікрофоном і комбінованим підсвічуванням ІЧ + видиме світло з дальністю до 50 метрів . Модель підходить для цілодобового відеоспостереження на об’єктах, де важливі чітке зображення, контроль звуку та стабільна робота в різних погодних умовах. Камера побудована на матриці 2 MP CMOS і оснащена об’єктивом 2.8 мм , який забезпечує широкий кут огляду: по горизонталі 101.8° , по вертикалі 54.4° і по діагоналі 122.1° . Завдяки цьому пристрій зручно використовувати для контролю вхідних груп, прибудинкових територій, паркувань, коридорів, складських зон та інших ділянок, де потрібно охопити велику площу. Світлосильна апертура F1.0 і висока чутливість матриці дають змогу камері працювати за дуже низького рівня освітлення: 0,0001 лк у кольоровому режимі, 0,00001 лк у чорно-білому режимі та 0 лк за увімкненого підсвічування."
"Відеоспостереження, Охорона, Ро",Відеокамера HFW1549XP-IL-A-PRO 2.8 мм,,2862,в наявності,нове,24 міс.,videokamera-hfw1549xp-il-a-pro-2-8-mm.jpg,"Опис Відеокамера HFW1549XP-IL-A-PRO (2.8мм) — вулична камера відеоспостереження з роздільною здатністю 5 МП, широким кутом огляду та вбудованим мікрофоном. Модель підходить для контролю території, вхідних груп, паркувань, дворів, складських і комерційних об'єктів, де важливо отримувати деталізоване зображення як удень, так і вночі. Камера оснащена об'єктивом 2.8 мм і забезпечує широкий огляд: 111° по горизонталі , 58° по вертикалі і 136° по діагоналі . Це дає змогу охоплювати велику площу однією камерою та зменшує кількість сліпих зон під час встановлення. Максимальна роздільна здатність відеопотоку становить 2880 × 1620 при 25 к/с . Завдяки цьому пристрій передає чітке зображення з хорошою деталізацією, що особливо важливо під час спостереження за переміщенням людей і транспорту. Для роботи в темний час доби передбачено комбіноване підсвічування ІЧ + видиме світло з дальністю до 50 метрів ."
Компютерна периферія,"Зовнішня кишеня ShuoLe U25E30 2,5"" USB 3.0 SATA прозора",ShuoLe,235,в наявності,нове,,zovnishnia-kyshenia-shuole-u25e30-2-5-usb-3-0-sata-prozora.png,"Опис Зовнішня кишеня 2,5"" ShuoLe U25E30 USB3.0 SATA призначена для підключення жорстких дисків формату 2,5 дюйма та зручної передачі даних між пристроями. Модель підходить для повсякденних завдань, пов’язаних зі зберіганням інформації, архівуванням, резервним копіюванням і перенесенням великих файлів. Корпус виконаний у прозорому виконанні , завдяки чому можна бачити внутрішні компоненти пристрою. Таке рішення робить зовнішню кишеню не лише функціональною, а й візуально помітною серед стандартних аксесуарів для накопичувачів. Інтерфейс USB3.0 SATA забезпечує високошвидкісне підключення, що особливо зручно під час копіювання об’ємних даних. Кишеня дає змогу швидко підключити 2,5-дюймовий жорсткий диск без складного налаштування, а встановлення без інструментів робить використання максимально простим. ShuoLe U25E30 вирізняється компактністю та легкістю, тому його зручно брати із собою в поїздки, використовувати вдома, в офісі або в дорозі."
Компютерна периферія,"Зовнішня кишеня VFAN 2,5"" USB 3.0 SATA Black",VFAN,274,в наявності,нове,,zovnishnia-kyshenia-vfan-2-5-usb-3-0-sata-black.png,"Опис Зовнішня кишеня 2,5"" VFAN корпус метал, інтерфейс USB 3.0 SATA, Black — це практичне рішення для підключення жорсткого диска 2,5"" SATA до комп’ютера або ноутбука. Пристрій дає змогу швидко перетворити внутрішній накопичувач на зовнішній носій для щоденної роботи з файлами, перенесення інформації та резервного копіювання даних. Корпус виконаний із металу , що робить конструкцію міцною та стійкою до повсякденного використання. Завдяки компактним розмірам кишеню зручно брати із собою, а лаконічне виконання в чорному кольорі підходить для дому та офісу. Підключення здійснюється через інтерфейс USB 3.0 , який забезпечує високу швидкість передавання даних. Це особливо зручно під час копіювання великих файлів, роботи з архівами, фото, відео та резервними копіями. Кишеня підходить для використання з різними комп’ютерами та ноутбуками. Переваги та особливості Підтримка дисків 2,5"" SATA — підходить для підключення сумісних жорстких дисків."
Накопичувачи,Карта пам’яті Kingston Canvas Select Plus 128GB microSDXC + SD-адаптер,Kingston,1103,в наявності,нове,,,"Опис Карта пам’яті Kingston Canvas Select Plus microSDXC 128GB UHS-I Class 10 — компактний носій для зберігання фото, відео, застосунків та інших файлів на сумісних пристроях. Модель належить до серії Canvas Select Plus і розрахована на використання з Android-пристроями , забезпечуючи продуктивність класу A1 для швидшого завантаження застосунків. Обсяг 128 ГБ дає змогу зберігати великий архів даних: повсякденні світлини, відеоролики, документи, музику та мобільні застосунки. Завдяки інтерфейсу UHS-I і класу швидкості Class 10 , карта підходить для стабільного запису та зчитування даних у повсякденних сценаріях використання. Швидкість читання досягає 150 МБ/с , що допомагає швидше переносити файли та відкривати збережений контент. Додатково карта підтримує клас швидкості відео V10 , що робить її відповідним варіантом для запису відео та зберігання мультимедійних файлів."
Накопичувачи,Карта пам’яті Kingston Canvas Select Plus MicroSDXC 128GB Class 10,Kingston,1348,в наявності,нове,,karta-pamiati-kingston-canvas-select-plus-microsdxc-128gb-cl.jpg,"Опис Карта пам’яті MicroSDXC 128GB UHS-I Class 10 Kingston Canvas Select Plus R150MB/s (SDCS3/128GBSP) — компактний накопичувач для зберігання фото, відео, застосунків та інших файлів на сумісних пристроях. Модель належить до серії Kingston Canvas Select Plus і виконана у форматі microSDXC . Карта пам’яті сумісна з Android-пристроями і підтримує продуктивність класу A1 , що допомагає швидше завантажувати застосунки та комфортно виконувати повсякденні мобільні завдання. Обсяг 128 ГБ дає змогу зберігати великий масив даних, зокрема зображення, відеоролики, документи та інший контент. Завдяки інтерфейсу UHS-I і класу швидкості Class 10 карта забезпечує стабільну роботу під час запису та читання даних. Заявлена швидкість читання до 150 МБ/с допомагає пришвидшити перенесення файлів і доступ до збереженої інформації. Додатково модель відповідає класу швидкості відео V10 , що робить її відповідним рішенням для запису відео та повсякденної зйомки."
Накопичувачи,Карта пам’яті Kingston Canvas Select Plus microSDXC 256GB з SD-адаптером,Kingston,2406,в наявності,нове,,karta-pamiati-kingston-canvas-select-plus-microsdxc-256gb-z.jpg,"Опис Карта пам’яті Kingston Canvas Select Plus microSDXC 256GB — зручний носій для зберігання фотографій, відео, застосунків та інших файлів на сумісних пристроях. Модель належить до формату microSDXC і підходить для Android-пристроїв , забезпечуючи продуктивність класу A1 , що допомагає пришвидшити завантаження застосунків і зробити щоденне використання комфортнішим. Накопичувач має обсяг 256 ГБ , що дає змогу зберігати велику кількість даних без частого очищення пам’яті. Завдяки стандарту UHS-I Class 10 і швидкості читання до 150 МБ/с , карта підходить для швидкого передавання файлів, перегляду збереженого контенту та стабільної роботи в сумісних пристроях. Модель також має клас швидкості відео V10 , що робить її придатною для запису та зберігання відеоматеріалів, фотографій та інших цифрових даних. Серія Canvas Select Plus орієнтована на щоденне використання та поєднує хорошу місткість із гідною продуктивністю."
Аксесуари до мобільних телефоні,Повербанк Hoco J153A Stability 20000mAh — Чорний,Hoco,648,в наявності,нове,,poverbank-hoco-j153a-stability-20000mah-chornyi.jpg,"Опис Повербанк Hoco J153A Stability 20000mAh (чорний) — портативний акумулятор для повсякденного використання, який підходить для заряджання смартфонів та інших сумісних пристроїв. Модель поєднує ємність 20000 мАг , дротовий спосіб заряджання та зручний набір роз’ємів для різних сценаріїв підключення. Пристрій оснащений 2 вхідними роз’ємами — Type-C і Micro-USB , а також 2 вихідними USB-A , які можна використовувати одночасно. Це дає змогу заряджати одразу два пристрої та обирати зручний спосіб підзарядки самого повербанка. Корпус виконаний із ABS-пластику та PC , вирізняється надійною збіркою та практичною формою із заокругленими кутами. Текстура поверхні робить зовнішній акумулятор зручнішим у руці. Для контролю рівня заряду передбачені яскраві LED-індикатори та механічна кнопка . Енергоефективний літій-полімерний акумулятор має номінальну ємність 20000 мАг ."
Аксесуари до мобільних телефоні,Повербанк Hoco J165A Honey 20000mAh Black,Hoco,648,в наявності,нове,6 міс.,poverbank-hoco-j165a-honey-20000mah-black.jpg,"Опис Повербанк Hoco J165A Honey 20000mAh (чорний) — це універсальна мобільна батарея для повсякденного використання, яка поєднує високу ємність, зручний формат і продуману конструкцію. Модель підходить для заряджання смартфонів, планшетів та інших мобільних пристроїв, допомагаючи залишатися на зв’язку протягом дня. Корпус виконаний із ABS-пластику та PC , що робить пристрій міцним і практичним для регулярного використання. Рельєфна текстура не лише доповнює зовнішній вигляд, а й робить хват зручнішим. Завдяки компактним для своєї ємності габаритам повербанк зручно носити в сумці або рюкзаку. Модель оснащена LED-індикатором заряду , який допомагає контролювати залишковий рівень енергії. Для підключення передбачені інтерфейси USB і Type-C . Повербанк підтримує дротове заряджання та розрахований на стабільну подачу живлення з параметрами 5V/2A . Ємність акумулятора становить 20000 mAh . Цього достатньо для кількох циклів підзаряджання сумісних пристроїв."
